action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,17,30019.46,long,0.7040739096977175,21157.075644859102,100,21.157075644859102,2021-01-02 12:00:00,21135.918569214242,0.7040739096977175,0
sell,17,31520.43,long,0.7040739096977175,21157.075644859102,100,22.193770237121132,2021-01-02 13:00:00,22171.57646688401,0.0,0
buy,18,31520.43,long,0.7026999596901795,22171.57646688401,100,22.17157646688401,2021-01-02 13:00:00,22149.404890417125,0.7026999596901795,0
sell,18,33096.45,long,0.7026999596901795,22171.57646688401,100,23.257982658656278,2021-01-02 18:00:00,23234.724675997622,0.0,0
buy,19,33096.45,long,0.7013286908813975,23234.724675997622,100,23.234724675997622,2021-01-02 18:00:00,23211.489951321626,0.7013286908813975,0
sell,19,34751.27,long,0.7013286908813975,23234.724675997622,100,24.3732244300447,2021-01-03 07:00:00,24348.851205614657,0.0,0
buy,20,34751.27,long,0.699960097988046,24348.851205614657,100,24.348851205614658,2021-01-03 07:00:00,24324.502354409044,0.699960097988046,0
sell,20,36488.83,long,0.699960097988046,24348.851205614657,100,25.541942462377122,2021-01-06 21:00:00,25516.400519914747,0.0,0
buy,21,36488.83,long,0.6985941757900933,25516.400519914747,100,25.516400519914747,2021-01-06 21:00:00,25490.884119394832,0.6985941757900933,0
sell,21,38313.27,long,0.6985941757900933,25516.400519914747,100,26.766703096450364,2021-01-07 13:00:00,26739.936393353913,0.0,0
buy,22,38313.27,long,0.6972309191296008,26739.936393353913,100,26.739936393353915,2021-01-07 13:00:00,26713.19645696056,0.6972309191296008,0
sell,22,40228.93,long,0.6972309191296008,26739.936393353913,100,28.050190833877288,2021-01-07 18:00:00,28022.14064304341,0.0,0
buy,23,40228.93,long,0.6958703227354137,28022.14064304341,100,28.02214064304341,2021-01-07 18:00:00,27994.118502400368,0.6958703227354137,0
sell,23,42240.38,long,0.6958703227354137,28022.14064304341,100,29.39522797253665,2021-02-08 12:00:00,29365.83274456411,0.0,0
buy,24,42240.38,long,0.6945123815604772,29365.83274456411,100,29.365832744564113,2021-02-08 12:00:00,29336.46691181955,0.6945123815604772,0
sell,24,44352.4,long,0.6945123815604772,29365.83274456411,100,30.804759244255344,2021-02-08 13:00:00,30773.954485011087,0.0,0
buy,25,44352.4,long,0.6931570902707874,30773.954485011087,100,30.77395448501109,2021-02-08 13:00:00,30743.180530526075,0.6931570902707874,0
sell,25,46570.02,long,0.6931570902707874,30773.954485011087,100,32.28187825477662,2021-02-08 23:00:00,32249.596376521848,0.0,0
buy,26,46570.02,long,0.6918044437203448,32249.596376521848,100,32.24959637652185,2021-02-08 23:00:00,32217.346780145326,0.6918044437203448,0
sell,26,48898.52,long,0.6918044437203448,32249.596376521848,100,33.829825906474476,2021-02-12 00:00:00,33795.996080568,0.0,0
buy,27,48898.52,long,0.690454436749567,33795.996080568,100,33.795996080568,2021-02-12 00:00:00,33762.200084487435,0.690454436749567,0
sell,27,51343.45,long,0.690454436749567,33795.996080568,100,35.45200265309816,2021-02-17 09:00:00,35416.55065044507,0.0,0
buy,28,51343.45,long,0.6891070642856026,35416.55065044507,100,35.41655065044507,2021-02-17 09:00:00,35381.134099794624,0.6891070642856026,0
sell,28,53910.62,long,0.6891070642856026,35416.55065044507,100,37.151959907824725,2021-02-19 15:00:00,37114.8079479169,0.0,0
buy,29,53910.62,long,0.6877623210411786,37114.8079479169,100,37.1148079479169,2021-02-19 15:00:00,37077.693139968986,0.6877623210411786,0
sell,29,56606.15,long,0.6877623210411786,37114.8079479169,100,38.93343284891405,2021-02-20 12:00:00,38894.49941606514,0.0,0
buy,30,56606.15,long,0.686420201985987,38894.49941606514,100,38.894499416065145,2021-02-20 12:00:00,38855.60491664908,0.686420201985987,0
sell,30,48367.92,long,0.686420201985987,38894.49941606514,100,33.1950568679934,2021-03-04 23:00:00,33161.8618111254,0.0,0
