action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,1,9038.0,long,1.105333038282806,10000.0,100,10.0,2020-01-19 11:00:00,9990.0,1.105333038282806,0.0
sell,1,54991.13,long,1.105333038282806,10000.0,100,60.83435715866342,2021-03-27 16:00:00,60773.522801504754,0.0,0.0
sell,2,54991.13,short,1.1051513726214528,60773.522801504754,100,0.0011051513726214528,2021-03-27 16:00:00,60773.522801504754,0.0,1.1051513726214528
buy,2,33053.93,short,1.1051513726214528,60773.522801504754,100,85.0174494929761,2021-07-13 12:00:00,84932.43204348312,0.0,0.0
buy,3,33053.93,long,2.5669413474113254,84932.43204348312,100,84.93243204348312,2021-07-13 12:00:00,84847.49961143963,2.5669413474113254,0.0
sell,3,32629.2,long,2.5669413474113254,84932.43204348312,100,83.75615126460679,2021-07-23 22:00:00,83672.39511334218,0.0,0.0
sell,4,32629.2,short,2.5643409925263927,83672.39511334218,100,0.0025643409925263927,2021-07-23 22:00:00,83672.39511334218,0.0,2.5643409925263927
buy,4,65820.35,short,2.5643409925263927,83672.39511334218,100,-1.4410314207501942,2021-11-10 21:00:00,-1439.590389329444,0.0,0.0
buy,5,65820.35,long,-0.021849637671937545,-1439.590389329444,100,-1.439590389329444,2021-11-10 21:00:00,-1438.1507989401146,-0.021849637671937545,0.0
