action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
sell,12,49196.45,long,0.21307256869823377,10167.483853770977,100,10.482739395359664,2021-12-15 22:00:00,10472.256655964304,0.0,0.0
sell,13,49196.45,short,0.21286610428118907,10472.256655964304,100,0.00021286610428118908,2021-12-15 22:00:00,10472.256655964304,0.0,0.21286610428118907
buy,13,48556.49,short,0.21286610428118907,10472.256655964304,100,10.608482448060093,2021-12-16 15:00:00,10597.873965612032,0.0,0.0
buy,14,48556.49,long,0.21804039154490826,10597.873965612032,100,10.597873965612033,2021-12-16 15:00:00,10587.276091646421,0.21804039154490826,0.0
sell,14,46355.0,long,0.21804039154490826,10597.873965612032,100,10.106781855828403,2021-12-18 09:00:00,10096.675073972576,0.0,0.0
sell,15,46355.0,short,0.21781199598689624,10096.675073972576,100,0.00021781199598689625,2021-12-18 09:00:00,10096.675073972576,0.0,0.21781199598689624
buy,15,46672.94,short,0.21781199598689624,10096.675073972576,100,10.027423927968503,2021-12-19 01:00:00,10017.396504040535,0.0,0.0
buy,16,46672.94,long,0.21441501451454512,10017.396504040535,100,10.017396504040535,2021-12-19 01:00:00,10007.379107536493,0.21441501451454512,0.0
sell,16,46610.23,long,0.21441501451454512,10017.396504040535,100,9.9939196825513,2021-12-19 02:00:00,9983.92576286875,0.0,0.0
sell,17,46610.23,short,0.21420031102332576,9983.92576286875,100,0.00021420031102332578,2021-12-19 02:00:00,9983.92576286875,0.0,0.21420031102332576
buy,17,47144.25,short,0.21420031102332576,9983.92576286875,100,9.869538512776074,2021-12-19 19:00:00,9859.668974263299,0.0,0.0
buy,18,47144.25,long,0.20892917599259797,9859.668974263299,100,9.859668974263299,2021-12-19 19:00:00,9849.809305289036,0.20892917599259797,0.0
sell,18,46601.93,long,0.20892917599259797,9859.668974263299,100,9.736389414674115,2021-12-20 20:00:00,9726.65302525944,0.0,0.0
sell,19,46601.93,short,0.2087178154479748,9726.65302525944,100,0.0002087178154479748,2021-12-20 20:00:00,9726.65302525944,0.0,0.2087178154479748
buy,19,48574.69,short,0.2087178154479748,9726.65302525944,100,9.314902867656293,2021-12-22 14:00:00,9305.587964788638,0.0,0.0
buy,20,48574.69,long,0.19138119825003203,9305.587964788638,100,9.305587964788637,2021-12-22 14:00:00,9296.282376823849,0.19138119825003203,0.0
sell,20,48615.89,long,0.19138119825003203,9305.587964788638,100,9.304175174989917,2021-12-23 15:00:00,9294.870999814926,0.0,0.0
sell,21,48615.89,short,0.19118997923960512,9294.870999814926,100,0.00019118997923960512,2021-12-23 15:00:00,9294.870999814926,0.0,0.19118997923960512
buy,21,50990.42,short,0.19118997923960512,9294.870999814926,100,8.840884658411108,2021-12-24 16:00:00,8832.043773752695,0.0,0.0
buy,22,50990.42,long,0.1730366553164093,8832.043773752695,100,8.832043773752696,2021-12-24 16:00:00,8823.211729978942,0.1730366553164093,0.0
