Buy/Sell,Trade Number,Price,Type,Base amount,Quote amount,Trading Fee,Date,Balance,Base Amount,Quote Amount
Sell,161,46463.78,Short,,,0.01,2022-03-31 16:00:00,11.81,0.0003,11.81
Buy,162,46463.78,Long,0.0003,11.8,0.01,2022-03-31 16:00:00,11.8,,
Sell,162,40647.34,Long,,,0.01,2022-04-18 19:00:00,10.32,0.0003,10.32
Buy,163,40647.34,Short,0.0003,10.31,0.01,2022-04-18 19:00:00,10.31,,
Sell,163,40235.66,Short,,,0.01,2022-04-22 14:00:00,10.42,0.0003,10.42
Buy,164,40235.66,Long,0.0003,10.41,0.01,2022-04-22 14:00:00,10.41,,
Sell,164,40358.2,Long,,,0.01,2022-04-25 23:00:00,10.44,0.0003,10.44
Buy,165,40358.2,Short,0.0003,10.43,0.01,2022-04-25 23:00:00,10.43,,
Sell,165,39269.0,Short,,,0.01,2022-04-26 15:00:00,10.72,0.0003,10.72
Buy,166,39269.0,Long,0.0003,10.71,0.01,2022-04-26 15:00:00,10.71,,
Sell,166,38686.2,Long,,,0.01,2022-05-04 08:00:00,10.55,0.0003,10.55
Buy,167,38686.2,Short,0.0003,10.54,0.01,2022-05-04 08:00:00,10.54,,
Sell,167,38973.15,Short,,,0.01,2022-05-05 14:00:00,10.46,0.0003,10.46
Buy,168,38973.15,Long,0.0003,10.45,0.01,2022-05-05 14:00:00,10.45,,
Sell,168,31052.28,Long,,,0.01,2022-05-15 23:00:00,8.32,0.0003,8.32
Buy,169,31052.28,Short,0.0003,8.31,0.01,2022-05-15 23:00:00,8.31,,
Sell,169,29198.76,Short,,,0.01,2022-05-18 15:00:00,8.84,0.0003,8.84
Buy,170,29198.76,Long,0.0003,8.83,0.01,2022-05-18 15:00:00,8.83,,
Sell,170,29521.06,Long,,,0.01,2022-05-22 09:00:00,8.93,0.0003,8.93
Buy,171,29521.06,Short,0.0003,8.92,0.01,2022-05-22 09:00:00,8.92,,
Sell,171,29859.06,Short,,,0.01,2022-05-23 19:00:00,8.82,0.0003,8.82
Buy,172,29859.06,Long,0.0003,8.81,0.01,2022-05-23 19:00:00,8.81,,
Sell,172,29296.16,Long,,,0.01,2022-05-30 01:00:00,8.64,0.0003,8.64
Buy,173,29296.16,Short,0.0003,8.63,0.01,2022-05-30 01:00:00,8.63,,
Sell,173,30700.83,Short,,,0.01,2022-06-01 16:00:00,8.23,0.0003,8.23
Buy,174,30700.83,Long,0.0003,8.22,0.01,2022-06-01 16:00:00,8.22,,
Sell,174,30277.89,Long,,,0.01,2022-06-06 01:00:00,8.11,0.0003,8.11
Buy,175,30277.89,Short,0.0003,8.1,0.01,2022-06-06 01:00:00,8.1,,
Sell,175,31356.5,Short,,,0.01,2022-06-07 00:00:00,7.82,0.0003,7.82
Buy,176,31356.5,Long,0.0002,7.81,0.01,2022-06-07 00:00:00,7.81,,
Sell,176,30175.88,Long,,,0.01,2022-06-07 19:00:00,7.52,0.0003,7.52
Buy,177,30175.88,Short,0.0002,7.51,0.01,2022-06-07 19:00:00,7.51,,
Sell,177,29612.32,Short,,,0.01,2022-06-10 13:00:00,7.65,0.0003,7.65
Buy,178,29612.32,Long,0.0003,7.64,0.01,2022-06-10 13:00:00,7.64,,
Sell,178,19455.67,Long,,,0.01,2022-07-04 11:00:00,5.02,0.0004,5.02
Buy,179,19455.67,Short,0.0003,5.01,0.01,2022-07-04 11:00:00,5.01,,
Sell,179,21062.53,Short,,,0.0,2022-07-10 14:00:00,4.64,0.0002,4.64
Buy,180,21062.53,Long,0.0002,4.64,0.0,2022-07-10 14:00:00,4.64,,
Sell,180,20942.93,Long,,,0.0,2022-07-16 16:00:00,4.61,0.0002,4.61
Buy,181,20942.93,Short,0.0002,4.61,0.0,2022-07-16 16:00:00,4.61,,
Sell,181,22520.96,Short,,,0.0,2022-07-23 11:00:00,4.29,0.0002,4.29
Buy,182,22520.96,Long,0.0002,4.29,0.0,2022-07-23 11:00:00,4.29,,
Sell,182,21635.42,Long,,,0.0,2022-07-27 18:00:00,4.12,0.0002,4.12
Buy,183,21635.42,Short,0.0002,4.12,0.0,2022-07-27 18:00:00,4.12,,
Sell,183,23313.57,Short,,,0.0,2022-08-01 10:00:00,3.82,0.0002,3.82
Buy,184,23313.57,Long,0.0002,3.82,0.0,2022-08-01 10:00:00,3.82,,
Sell,184,23440.01,Long,,,0.0,2022-08-08 06:00:00,3.84,0.0002,3.84
Buy,185,23440.01,Short,0.0002,3.84,0.0,2022-08-08 06:00:00,3.84,,
Sell,185,23367.8,Short,,,0.0,2022-08-09 11:00:00,3.85,0.0002,3.85
Buy,186,23367.8,Long,0.0002,3.85,0.0,2022-08-09 11:00:00,3.85,,
Sell,186,23127.85,Long,,,0.0,2022-08-10 12:00:00,3.81,0.0002,3.81
Buy,187,23127.85,Short,0.0002,3.81,0.0,2022-08-10 12:00:00,3.81,,
Sell,187,23202.58,Short,,,0.0,2022-08-19 00:00:00,3.8,0.0002,3.8
Buy,188,23202.58,Long,0.0002,3.8,0.0,2022-08-19 00:00:00,3.8,,
Sell,188,19406.94,Long,,,0.0,2022-09-09 03:00:00,3.18,0.0002,3.18
Buy,189,19406.94,Short,0.0002,3.18,0.0,2022-09-09 03:00:00,3.18,,
Sell,189,21429.39,Short,,,0.0,2022-09-13 13:00:00,2.88,0.0001,2.88
Buy,190,21429.39,Long,0.0001,2.88,0.0,2022-09-13 13:00:00,2.88,,
Sell,190,19243.91,Long,,,0.0,2022-09-21 17:00:00,2.59,0.0001,2.59
Buy,191,19243.91,Short,0.0001,2.59,0.0,2022-09-21 17:00:00,2.59,,
Sell,191,19001.58,Short,,,0.0,2022-09-28 02:00:00,2.62,0.0001,2.62
Buy,192,19001.58,Long,0.0001,2.62,0.0,2022-09-28 02:00:00,2.62,,
Sell,192,19617.88,Long,,,0.0,2022-10-04 06:00:00,2.7,0.0001,2.7
Buy,193,19617.88,Short,0.0001,2.7,0.0,2022-10-04 06:00:00,2.7,,
Sell,193,20004.47,Short,,,0.0,2022-10-07 12:00:00,2.65,0.0001,2.65
Buy,194,20004.47,Long,0.0001,2.65,0.0,2022-10-07 12:00:00,2.65,,
Sell,194,19413.78,Long,,,0.0,2022-10-14 01:00:00,2.57,0.0001,2.57
Buy,195,19413.78,Short,0.0001,2.57,0.0,2022-10-14 01:00:00,2.57,,
Sell,195,19128.09,Short,,,0.0,2022-10-20 00:00:00,2.61,0.0001,2.61
Buy,196,19128.09,Long,0.0001,2.61,0.0,2022-10-20 00:00:00,2.61,,
Sell,196,19181.99,Long,,,0.0,2022-10-23 17:00:00,2.62,0.0001,2.62
Buy,197,19181.99,Short,0.0001,2.62,0.0,2022-10-23 17:00:00,2.62,,
Sell,197,21131.55,Short,,,0.0,2022-11-06 23:00:00,2.38,0.0001,2.38
Buy,198,21131.55,Long,0.0001,2.38,0.0,2022-11-06 23:00:00,2.38,,
Sell,198,16192.0,Long,,,0.0,2022-11-23 02:00:00,1.82,0.0001,1.82
Buy,199,16192.0,Short,0.0001,1.82,0.0,2022-11-23 02:00:00,1.82,,
Sell,199,16441.14,Short,,,0.0,2022-11-28 01:00:00,1.79,0.0001,1.79
Buy,200,16441.14,Long,0.0001,1.79,0.0,2022-11-28 01:00:00,1.79,,
Sell,200,16435.01,Long,,,0.0,2022-11-30 00:00:00,1.79,0.0001,1.79
Buy,201,16435.01,Short,0.0001,1.79,0.0,2022-11-30 00:00:00,1.79,,
Sell,201,16950.52,Short,,,0.0,2022-12-07 07:00:00,1.74,0.0001,1.74
Buy,202,16950.52,Long,0.0001,1.74,0.0,2022-12-07 07:00:00,1.74,,
Sell,202,16978.43,Long,,,0.0,2022-12-08 18:00:00,1.74,0.0001,1.74
Buy,203,16978.43,Short,0.0001,1.74,0.0,2022-12-08 18:00:00,1.74,,
Sell,203,17097.65,Short,,,0.0,2022-12-12 00:00:00,1.73,0.0001,1.73
Buy,204,17097.65,Long,0.0001,1.73,0.0,2022-12-12 00:00:00,1.73,,
Sell,204,17119.43,Long,,,0.0,2022-12-12 21:00:00,1.73,0.0001,1.73
Buy,205,17119.43,Short,0.0001,1.73,0.0,2022-12-12 21:00:00,1.73,,
Sell,205,17470.0,Short,,,0.0,2022-12-16 10:00:00,1.7,0.0001,1.7
Buy,206,17470.0,Long,0.0001,1.7,0.0,2022-12-16 10:00:00,1.7,,
Sell,206,16634.54,Long,,,0.0,2023-01-02 07:00:00,1.62,0.0001,1.62
Buy,207,16634.54,Short,0.0001,1.62,0.0,2023-01-02 07:00:00,1.62,,
Sell,207,23076.4,Short,,,0.0,2023-01-30 13:00:00,1.17,0.0001,1.17
Buy,208,23076.4,Long,0.0001,1.17,0.0,2023-01-30 13:00:00,1.17,,
Sell,208,23380.0,Long,,,0.0,2023-02-01 20:00:00,1.19,0.0001,1.19
Buy,209,23380.0,Short,0.0001,1.19,0.0,2023-02-01 20:00:00,1.19,,
Sell,209,23179.03,Short,,,0.0,2023-02-05 15:00:00,1.2,0.0001,1.2
Buy,210,23179.03,Long,0.0001,1.2,0.0,2023-02-05 15:00:00,1.2,,
Sell,210,21729.02,Long,,,0.0,2023-02-14 14:00:00,1.12,0.0001,1.12
Buy,211,21729.02,Short,0.0001,1.12,0.0,2023-02-14 14:00:00,1.12,,
Sell,211,23726.4,Short,,,0.0,2023-02-22 16:00:00,1.03,0.0,1.03
Buy,212,23726.4,Long,0.0,1.03,0.0,2023-02-22 16:00:00,1.03,,
Sell,212,23511.82,Long,,,0.0,2023-02-26 20:00:00,1.02,0.0,1.02
Buy,213,23511.82,Short,0.0,1.02,0.0,2023-02-26 20:00:00,1.02,,
Sell,213,23414.54,Short,,,0.0,2023-03-03 01:00:00,1.02,0.0,1.02
Buy,214,23414.54,Long,0.0,1.02,0.0,2023-03-03 01:00:00,1.02,,
Sell,214,22413.76,Long,,,0.0,2023-03-13 00:00:00,0.98,0.0,0.98
Buy,215,22413.76,Short,0.0,0.98,0.0,2023-03-13 00:00:00,0.98,,
Sell,215,28019.36,Short,,,0.0,2023-03-22 19:00:00,0.78,0.0,0.78
Buy,216,28019.36,Long,0.0,0.78,0.0,2023-03-22 19:00:00,0.78,,
Sell,216,27946.27,Long,,,0.0,2023-03-26 13:00:00,0.78,0.0,0.78
Buy,217,27946.27,Short,0.0,0.78,0.0,2023-03-26 13:00:00,0.78,,
Sell,217,27689.93,Short,,,0.0,2023-03-27 14:00:00,0.79,0.0,0.79
Buy,218,27689.93,Long,0.0,0.79,0.0,2023-03-27 14:00:00,0.79,,
Sell,218,27549.31,Long,,,0.0,2023-03-29 06:00:00,0.79,0.0,0.79
Buy,219,27549.31,Short,0.0,0.79,0.0,2023-03-29 06:00:00,0.79,,
Sell,219,28191.55,Short,,,0.0,2023-04-02 19:00:00,0.77,0.0,0.77
Buy,220,28191.55,Long,0.0,0.77,0.0,2023-04-02 19:00:00,0.77,,
Sell,220,28130.22,Long,,,0.0,2023-04-09 21:00:00,0.77,0.0,0.77
Buy,221,28130.22,Short,0.0,0.77,0.0,2023-04-09 21:00:00,0.77,,
Sell,221,30307.98,Short,,,0.0,2023-04-17 00:00:00,0.71,0.0,0.71
Buy,222,30307.98,Long,0.0,0.71,0.0,2023-04-17 00:00:00,0.71,,
Sell,222,29867.0,Long,,,0.0,2023-04-18 11:00:00,0.7,0.0,0.7
Buy,223,29867.0,Short,0.0,0.7,0.0,2023-04-18 11:00:00,0.7,,
Sell,223,30082.44,Short,,,0.0,2023-04-19 08:00:00,0.69,0.0,0.69
Buy,224,30082.44,Long,0.0,0.69,0.0,2023-04-19 08:00:00,0.69,,
Sell,224,27609.13,Long,,,0.0,2023-04-25 20:00:00,0.63,0.0,0.63
Buy,225,27609.13,Short,0.0,0.63,0.0,2023-04-25 20:00:00,0.63,,
Sell,225,29320.0,Short,,,0.0,2023-05-01 01:00:00,0.59,0.0,0.59
Buy,226,29320.0,Long,0.0,0.59,0.0,2023-05-01 01:00:00,0.59,,
Sell,226,27679.06,Long,,,0.0,2023-05-10 12:00:00,0.56,0.0,0.56
Buy,227,27679.06,Short,0.0,0.56,0.0,2023-05-10 12:00:00,0.56,,
Sell,227,27142.69,Short,,,0.0,2023-05-11 17:00:00,0.57,0.0,0.57
Buy,228,27142.69,Long,0.0,0.57,0.0,2023-05-11 17:00:00,0.57,,
Sell,228,26969.18,Long,,,0.0,2023-05-14 15:00:00,0.57,0.0,0.57
Buy,229,26969.18,Short,0.0,0.57,0.0,2023-05-14 15:00:00,0.57,,
Sell,229,26874.04,Short,,,0.0,2023-05-17 11:00:00,0.57,0.0,0.57
Buy,230,26874.04,Long,0.0,0.57,0.0,2023-05-17 11:00:00,0.57,,
Sell,230,26928.5,Long,,,0.0,2023-05-20 17:00:00,0.57,0.0,0.57
Buy,231,26928.5,Short,0.0,0.57,0.0,2023-05-20 17:00:00,0.57,,
Sell,231,26756.46,Short,,,0.0,2023-05-22 00:00:00,0.57,0.0,0.57
Buy,232,26756.46,Long,0.0,0.57,0.0,2023-05-22 00:00:00,0.57,,
Sell,232,27139.15,Long,,,0.0,2023-05-23 03:00:00,0.58,0.0,0.58
Buy,233,27139.15,Short,0.0,0.58,0.0,2023-05-23 03:00:00,0.58,,
Sell,233,27175.9,Short,,,0.0,2023-05-24 03:00:00,0.58,0.0,0.58
Buy,234,27175.9,Long,0.0,0.58,0.0,2023-05-24 03:00:00,0.58,,
Sell,234,26864.66,Long,,,0.0,2023-05-28 00:00:00,0.57,0.0,0.57
Buy,235,26864.66,Short,0.0,0.57,0.0,2023-05-28 00:00:00,0.57,,
Sell,235,27665.34,Short,,,0.0,2023-05-31 04:00:00,0.55,0.0,0.55
Buy,236,27665.34,Long,0.0,0.55,0.0,2023-05-31 04:00:00,0.55,,
Sell,236,26711.93,Long,,,0.0,2023-06-06 19:00:00,0.53,0.0,0.53
Buy,237,26711.93,Short,0.0,0.53,0.0,2023-06-06 19:00:00,0.53,,
Sell,237,26330.13,Short,,,0.0,2023-06-10 04:00:00,0.54,0.0,0.54
Buy,238,26330.13,Long,0.0,0.54,0.0,2023-06-10 04:00:00,0.54,,
Sell,238,25817.96,Long,,,0.0,2023-06-16 16:00:00,0.53,0.0,0.53
Buy,239,25817.96,Short,0.0,0.53,0.0,2023-06-16 16:00:00,0.53,,
Sell,239,30684.92,Short,,,0.0,2023-07-05 10:00:00,0.45,0.0,0.45
Buy,240,30684.92,Long,0.0,0.45,0.0,2023-07-05 10:00:00,0.45,,
Sell,240,30823.06,Long,,,0.0,2023-07-06 08:00:00,0.45,0.0,0.45
Buy,241,30823.06,Short,0.0,0.45,0.0,2023-07-06 08:00:00,0.45,,
Sell,241,30710.17,Short,,,0.0,2023-07-14 18:00:00,0.45,0.0,0.45
Buy,242,30710.17,Long,0.0,0.45,0.0,2023-07-14 18:00:00,0.45,,
Sell,242,29953.42,Long,,,0.0,2023-07-23 17:00:00,0.44,0.0,0.44
Buy,243,29953.42,Short,0.0,0.44,0.0,2023-07-23 17:00:00,0.44,,
Sell,243,29756.89,Short,,,0.0,2023-07-24 09:00:00,0.44,0.0,0.44
Buy,244,29756.89,Long,0.0,0.44,0.0,2023-07-24 09:00:00,0.44,,
Sell,244,29405.75,Long,,,0.0,2023-07-26 20:00:00,0.43,0.0,0.43
Buy,245,29405.75,Short,0.0,0.43,0.0,2023-07-26 20:00:00,0.43,,
Sell,245,29192.25,Short,,,0.0,2023-08-01 02:00:00,0.43,0.0,0.43
Buy,246,29192.25,Long,0.0,0.43,0.0,2023-08-01 02:00:00,0.43,,
Sell,246,29236.21,Long,,,0.0,2023-08-01 23:00:00,0.43,0.0,0.43
Buy,247,29236.21,Short,0.0,0.43,0.0,2023-08-01 23:00:00,0.43,,
Sell,247,29277.61,Short,,,0.0,2023-08-14 00:00:00,0.43,0.0,0.43
Buy,248,29277.61,Long,0.0,0.43,0.0,2023-08-14 00:00:00,0.43,,
Sell,248,29561.51,Long,,,0.0,2023-08-14 16:00:00,0.43,0.0,0.43
Buy,249,29561.51,Short,0.0,0.43,0.0,2023-08-14 16:00:00,0.43,,
Sell,249,28885.01,Short,,,0.0,2023-08-16 23:00:00,0.44,0.0,0.44
Buy,250,28885.01,Long,0.0,0.44,0.0,2023-08-16 23:00:00,0.44,,
Sell,250,26386.69,Long,,,0.0,2023-08-23 17:00:00,0.4,0.0,0.4
Buy,251,26386.69,Short,0.0,0.4,0.0,2023-08-23 17:00:00,0.4,,
Sell,251,26930.94,Short,,,0.0,2023-08-31 16:00:00,0.39,0.0,0.39
Buy,252,26930.94,Long,0.0,0.39,0.0,2023-08-31 16:00:00,0.39,,
Sell,252,26000.77,Long,,,0.0,2023-09-07 21:00:00,0.38,0.0,0.38
Buy,253,26000.77,Short,0.0,0.38,0.0,2023-09-07 21:00:00,0.38,,
Sell,253,25781.56,Short,,,0.0,2023-09-10 17:00:00,0.38,0.0,0.38
Buy,254,25781.56,Long,0.0,0.38,0.0,2023-09-10 17:00:00,0.38,,
Sell,254,25846.85,Long,,,0.0,2023-09-12 10:00:00,0.38,0.0,0.38
Buy,255,25846.85,Short,0.0,0.38,0.0,2023-09-12 10:00:00,0.38,,
Sell,255,26639.03,Short,,,0.0,2023-09-21 13:00:00,0.37,0.0,0.37
Buy,256,26639.03,Long,0.0,0.37,0.0,2023-09-21 13:00:00,0.37,,
