unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1.69275E+12,23/08/2023 00:00,BTC/EUR,24000,24999.91,23937.77,24378.39,3.05863469,74564.58934
1.69266E+12,22/08/2023 00:00,BTC/EUR,24074.61,24074.61,23450.69,24000,0.75384805,18092.3532
1.69258E+12,21/08/2023 00:00,BTC/EUR,24096.15,24102.59,23798.62,24074.61,2.31894644,55827.73115
1.69249E+12,20/08/2023 00:00,BTC/EUR,24009.26,24500,24008.23,24096.15,2.1279501,51275.4048
1.6924E+12,19/08/2023 00:00,BTC/EUR,23994.9,24144.13,23812.17,24009.26,1.84379864,44268.24094
1.69232E+12,18/08/2023 00:00,BTC/EUR,24850.48,24850.48,23600,23994.9,14.68789989,352434.6891
1.69223E+12,17/08/2023 00:00,BTC/EUR,26500,26500,23000,24850.48,11.69694535,290674.7065
1.69214E+12,16/08/2023 00:00,BTC/EUR,26708.93,26811.05,26500,26500,1.53573267,40696.91576
1.69206E+12,15/08/2023 00:00,BTC/EUR,27007.16,27007.16,26708.93,26708.93,1.44053888,38475.25211
1.69197E+12,14/08/2023 00:00,BTC/EUR,26776.41,27138.76,26660.31,27007.16,2.16182154,58384.66022
1.69188E+12,13/08/2023 00:00,BTC/EUR,26891.36,26999.99,26776.41,26776.41,0.0358451,959.8030941
1.6918E+12,12/08/2023 00:00,BTC/EUR,26859.94,26926.4,26855.64,26891.36,0.29862806,8030.514668
1.69171E+12,11/08/2023 00:00,BTC/EUR,26812.06,26908.93,26735.11,26859.94,0.27780666,7461.870219
1.69163E+12,10/08/2023 00:00,BTC/EUR,26958,27007.16,26708.93,26812.06,1.58837893,42587.71117
1.69154E+12,09/08/2023 00:00,BTC/EUR,27150.52,27453.68,26806.44,26958,5.83935635,157417.3685
1.69145E+12,08/08/2023 00:00,BTC/EUR,26567.91,27519.49,26514.99,27150.52,2.53984537,68958.12252
1.69137E+12,07/08/2023 00:00,BTC/EUR,26480.55,26908.92,26100.01,26567.91,1.28878043,34240.20247
1.69128E+12,06/08/2023 00:00,BTC/EUR,26432.91,26567.9,26334.17,26480.55,0.24112064,6385.007164
1.69119E+12,05/08/2023 00:00,BTC/EUR,26100.01,26432.91,26100.01,26432.91,0.19534057,5163.419706
1.69111E+12,04/08/2023 00:00,BTC/EUR,26646.03,26713.51,26100.01,26100.01,1.63338567,42631.38232
1.69102E+12,03/08/2023 00:00,BTC/EUR,26762.24,26908.93,26563.34,26646.03,1.53047073,40780.96899
1.69093E+12,02/08/2023 00:00,BTC/EUR,27007.16,27304.02,26466.72,26762.24,4.25128256,113773.8442
1.69085E+12,01/08/2023 00:00,BTC/EUR,26571.98,27007.16,26123.12,27007.16,3.59368905,97055.33516
1.69076E+12,31/07/2023 00:00,BTC/EUR,26541.54,26781.91,26466.74,26571.98,2.6987024,71709.8662
1.69068E+12,30/07/2023 00:00,BTC/EUR,26688.67,26762.24,26400,26541.54,3.20558082,85081.05156
1.69059E+12,29/07/2023 00:00,BTC/EUR,26645.76,26705.34,26583.01,26688.67,1.86901683,49881.5734
1.6905E+12,28/07/2023 00:00,BTC/EUR,26638.37,26762.24,26528.83,26645.76,2.33899825,62324.38601
1.69042E+12,27/07/2023 00:00,BTC/EUR,26514.98,26830.88,26466.72,26638.37,1.17488561,31297.03759
